Player,Position,Nationality
Charlie Gilmour,Midfielder,Scotland
Gio McGregor,Midfielder,England
Olivier Giroud,Forward,France
Paul Gladon,Forward,Netherlands
Paul Glatzel,Midfielder,England
Anthony Glennon,Defender,England
Ben Godfrey,Midfielder,England
Claudio Gomes,Midfielder,France
Joseph Gomez,Defender,England
GonÃ§alo Cardoso,Defender,Portugal
Anthony Gordon,Forward,England
Dan Gosling,Midfielder,England
Kamil Grabara,Goalkeeper,Poland
Lee Grant,Goalkeeper,England
Demarai Gray,Midfielder,England
Jack Grealish,Midfielder,England
Andre Green,Midfielder,England
Mason Greenwood,Forward,England
Daniel Grimshaw,Goalkeeper,England
Pascal Groß,Midfielder,Germany
Marko Grujic,Midfielder,Serbia
Vicente Guaita,Goalkeeper,Spain
Matteo Guendouzi,Midfielder,France
Idrissa Gueye,Midfielder,Senegal
Frederic Guilbert,Defender,France
Ilkay Gündogan,Midfielder,Germany
Angus Gunn,Goalkeeper,England
Peter Gwargis,Midfielder,Sweden
Gylfi Sigurdsson,Midfielder,Iceland
Viktor Gyökeres,Forward,Sweden
Sead Haksabanovic,Midfielder,Montenegro
Sébastien Haller,Forward,France
Ethan Hamilton,Midfielder,Scotland
Grant Hanley,Defender,Scotland
Kornelius Hansen,Midfielder,Norway
Nathan Harker,Goalkeeper,England
Joe Hart,Goalkeeper,England
Taylor Harwood-Bellis,Defender,England
Kortney Hause,Midfielder,England
Isaac Hayden,Midfielder,England
Tom Heaton,Goalkeeper,England
Michael Hector,Defender,Jamaica
Philip Heise,Defender,Germany
Hélder Costa,Forward,Portugal
Tomer Hemed,Forward,Israel
Stephen Henderson,Goalkeeper,Ireland
Jeff Hendrick,Midfielder,Ireland
Ben Heneghan,Defender,England
Wayne Hennessey,Goalkeeper,Wales
Dion Henry,Goalkeeper,England
Rushian Hepburn-Murphy,Forward,England
Onel Hernández,Midfielder,Cuba
Ander Herrera,Midfielder,Spain
Jake Hesketh,Midfielder,England
Heurelho Gomes,Goalkeeper,Brazil
Mateusz Hewelt,Goalkeeper,Poland
Gonzalo Higuaín,Forward,Argentina
Wesley Hoedt,Defender,Netherlands
Ki-Jana Hoever,Defender,Netherlands
Scott Hogan,Forward,Ireland
Rob Holding,Defender,England
José Holebas,Defender,Greece
Mason Holgate,Defender,England
Nathan Holland,Midfielder,England
Ricky Holmes,Midfielder,England
Nathaniel Shio Hong Wan,Midfielder,England
Conor Hourihane,Midfielder,Ireland
Callum Hudson-Odoi,Forward,England
Will Hughes,Midfielder,England
Jordan Hugill,Forward,England
Cameron Humphreys-Grant,Defender,England
James Husband,Defender,England
Alan Hutton,Defender,Scotland
Emerson Hyndman,Midfielder,United States
Pierre-Emile Højbjerg,Midfielder,Denmark
Jordon Ibe,Midfielder,England
Vicente Iborra,Midfielder,Spain
Adam Idah,Forward,Ireland
Kelechi Iheanacho,Forward,Nigeria
Iker Pozo,Midfielder,Spain
Dejan Iliev,Goalkeeper,
Ryan Inniss,Defender,England
Isaac Success,Forward,Nigeria
Isaiah Brown,Midfielder,England
Ismaila Sarr,Forward,Senegal
Daniel Iversen,Goalkeeper,Denmark
Ivo Pinto,Defender,Portugal
Alex Iwobi,Forward,Nigeria
José Izquierdo,Forward,Colombia
Phil Jagielka,Defender,England
Alireza Jahanbakhsh,Forward,Iran
Eldin Jakupovic,Goalkeeper,Switzerland
Reece James,Defender,England
Alexandre Jankewitz,Midfielder,Switzerland
Daryl Janmaat,Defender,Netherlands
Vincent Janssen,Forward,Netherlands
Vitezslav Jaros,Goalkeeper,Czech Republic
Mile Jedinak,Midfielder,Australia
Carl Jenkinson,Defender,England
Teddy Jenks,Midfielder,England
Roberto Jiménez,Goalkeeper,Spain
Jimmy Dunne,Defender,Ireland
João Cancelo,Defender,Portugal
João Moutinho,Midfielder,Portugal
João Virgínia,Goalkeeper,Portugal
Joe Powell,Midfielder,England
Joe Willock,Midfielder,England
Joel Pereira,Goalkeeper,Portugal
Joelinton,Forward,Brazil
Johann Gudmundsson,Midfielder,Iceland
Viktor Johansson,Goalkeeper,Sweden
Cameron John,Defender,England
Tyreece John-Jules,Forward,England
Marvin Johnson,Midfielder,England
George Johnston,Defender,Scotland
Curtis Jones,Midfielder,England
Jonny,Defender,Spain
Jonny Evans,Defender,Northern Ireland
Corey Jordan,Defender,England
Jordan Ayew,Forward,Ghana
Jordan Henderson,Midfielder,England
Jorginho,Midfielder,Italy
Joselu,Forward,Spain
Josh Sims,Midfielder,England
Jota,Midfielder,Spain
James Justin,Defender,England
Christian Kabasele,Defender,Belgium
Younes Kaboul,Defender,France
Sullay Kaikai,Midfielder,England
Tomas Kalas,Defender,Czech Republic
Lovre Kalinic,Goalkeeper,Croatia
Herbie Kane,Midfielder,England
N'Golo Kanté,Midfielder,France
Bartosz Kapustka,Midfielder,Poland
Loris Karius,Goalkeeper,Germany
Beram Kayal,Midfielder,Israel
Moise Kean,Forward,Italy
Michael Keane,Defender,England
Caoimhin Kelleher,Goalkeeper,Ireland
Lloyd Kelly,Defender,England
Kenedy,Midfielder,Brazil
Jonjoe Kenny,Defender,England
Ryan Kent,Midfielder,England
Ki Sung-yueng,Midfielder,South Korea
Kieron Freeman,Defender,Wales
Kiko Femenía,Defender,Spain
Gavin Kilkenny,Midfielder,Ireland
Max Kilman,Defender,England
Joshua King,Forward,Norway
Nya Kirby,Midfielder,England
Christoph Klarer,Midfielder,Austria
Ragnar Klavan,Defender,Estonia
Timm Klose,Defender,Switzerland
Josh Knight,Defender,England
Anthony Knockaert,Midfielder,France
Jonathan Kodjia,Forward,Cote D'Ivoire
Sead Kolasinac,Defender,Bosnia And Herzegovina
Vincent Kompany,Defender,Belgium
Ezri Konsa Ngoyo,Defender,England
Laurent Koscielny,Defender,France
Billy Koumetio,Defender,France
Cheikhou Kouyaté,Midfielder,Senegal
Mateo Kovacic,Midfielder,Croatia
Matej Kovar,Goalkeeper,Czech Republic
Emil Krafth,Defender,Sweden
Tim Krul,Goalkeeper,Netherlands
Alexandre Lacazette,Forward,France
Daniel Lafferty,Defender,Northern Ireland
Adam Lallana,Midfielder,England
